
1,Time,Displacement,Force
,(s),(mm),(N)
"","6.0000","0.0983","-0.0587"
"","6.0200","0.0986","-0.1310"
"","6.0400","0.0989","-0.0481"
"","6.0600","0.0992","-0.0700"
"","6.0800","0.0994","-0.1038"
"","6.1000","0.0997","-0.0135"
"","6.1200","0.0999","0.0433"
"","6.1400","0.1002","-0.0516"
"","6.1600","0.1006","-0.0345"
"","6.1800","0.1010","-0.0723"
"","6.2000","0.1014","-0.0447"
"","6.2200","0.1018","-0.0320"
"","6.2400","0.1022","-0.0361"
"","6.2600","0.1026","0.0007"
"","6.2800","0.1029","0.0462"
"","6.3000","0.1032","0.0308"
"","6.3200","0.1035","-0.1078"
"","6.3400","0.1038","-0.0891"
"","6.3600","0.1041","0.0948"
"","6.3800","0.1045","-0.0168"
"","6.4000","0.1048","-0.0927"
"","6.4200","0.1050","-0.0429"
"","6.4400","0.1053","-0.0516"
"","6.4600","0.1056","-0.0222"
"","6.4800","0.1059","0.0170"
"","6.5000","0.1062","-0.0173"
"","6.5200","0.1066","-0.0613"
"","6.5400","0.1070","-0.0222"
"","6.5600","0.1074","0.0312"
"","6.5800","0.1078","-0.0098"
"","6.6000","0.1082","0.0103"
"","6.6200","0.1085","0.0196"
"","6.6400","0.1089","-0.0161"
"","6.6600","0.1092","0.0404"
"","6.6800","0.1096","0.0703"
"","6.7000","0.1100","0.0328"
"","6.7200","0.1103","-0.0290"
"","6.7400","0.1106","-0.0750"
"","6.7600","0.1108","-0.0639"
"","6.7800","0.1110","-0.0083"
"","6.8000","0.1113","0.0282"
"","6.8200","0.1115","0.0380"
"","6.8400","0.1119","0.0679"
"","6.8600","0.1122","-0.0301"
"","6.8800","0.1126","-0.0478"
"","6.9000","0.1131","-0.0333"
"","6.9200","0.1135","-0.1079"
"","6.9400","0.1139","-0.1501"
"","6.9600","0.1142","-0.0240"
"","6.9800","0.1146","0.0193"
"","7.0000","0.1149","0.0707"
"","7.0200","0.1152","0.0762"
"","7.0400","0.1155","0.0280"
"","7.0600","0.1158","-0.0775"
"","7.0800","0.1162","0.0043"
"","7.1000","0.1165","0.0396"
"","7.1200","0.1167","0.0382"
"","7.1400","0.1170","-0.0189"
"","7.1600","0.1172","0.0116"
"","7.1800","0.1176","-0.0478"
"","7.2000","0.1179","-0.0022"
"","7.2200","0.1183","-0.0150"
"","7.2400","0.1187","-0.0627"
"","7.2600","0.1191","-0.0419"
"","7.2800","0.1195","0.0249"
"","7.3000","0.1198","0.0526"
"","7.3200","0.1202","-0.0018"
"","7.3400","0.1205","0.0523"
"","7.3600","0.1209","0.0458"
"","7.3800","0.1213","0.0195"
"","7.4000","0.1216","0.0551"
"","7.4200","0.1219","0.0296"
"","7.4400","0.1222","-0.0137"
"","7.4600","0.1224","-0.0340"
"","7.4800","0.1227","-0.0584"
"","7.5000","0.1229","-0.0243"
"","7.5200","0.1232","0.0255"
"","7.5400","0.1236","0.0739"
"","7.5600","0.1240","0.0120"
"","7.5800","0.1244","-0.0078"
"","7.6000","0.1249","-0.0454"
"","7.6200","0.1253","0.0188"
"","7.6400","0.1256","-0.0262"
"","7.6600","0.1259","0.0962"
"","7.6800","0.1262","0.0271"
"","7.7000","0.1265","0.0767"
"","7.7200","0.1268","0.0732"
"","7.7400","0.1272","0.0146"
"","7.7600","0.1275","0.0045"
